Nombre,Apellido,team_name,Posicion,opponent_name,is_home,Precio,form,difficulty,valor,tendencia,volatilidad,rendimiento_ajustado,xP
Marcos,Senesi Barón,Bournemouth,Defender,Crystal Palace,False,49,8.4,1140,1.7142857142857142,0,4.503966505838414,0.3806168878173306,3.09
Omar,Alderete,Sunderland,Defender,Wolves,True,41,7.0,1125,1.707317073170732,0,5.798193478924933,0.2944567268023095,5.35
Marc,Guéhi,Crystal Palace,Defender,Bournemouth,True,48,7.4,1180,1.5416666666666667,0,4.197504927816954,0.3672816811839836,3.45
Robin,Roefs,Sunderland,Goalkeeper,Wolves,True,46,6.2,1125,1.347826086956522,0,4.017817460121496,0.3354622504218409,4.43
Jaidon,Anthony,Burnley,Midfielder,Leeds,True,57,7.6,1075,1.3333333333333333,0,4.375255094603872,0.3047441359425583,3.6
Michael,Keane,Everton,Defender,Man City,False,45,5.8,1275,1.2888888888888888,0,3.559026084010437,0.3621465138115883,3.3
Jurriën,Timber,Arsenal,Defender,Fulham,False,59,7.4,1125,1.2542372881355932,1,8.571825387640049,0.1463209096564324,5.8
Ryan,Gravenberch,Liverpool,Midfielder,Man Utd,True,57,7.0,1125,1.2280701754385963,1,5.154748157905347,0.2382405770018505,5.32
Adrien,Truffert,Bournemouth,Defender,Crystal Palace,False,45,5.4,1140,1.2000000000000002,0,3.101458950082625,0.3869146809013968,4.86
Nordi,Mukiele,Sunderland,Defender,Wolves,True,40,4.8,1125,1.2,0,3.3316662497915366,0.3601801351125985,3.49
James,Garner,Everton,Midfielder,Man City,False,50,6.0,1275,1.2,0,3.0394235042348474,0.3948117129212275,3.33
Trevoh,Chalobah,Chelsea,Defender,Nott'm Forest,False,51,5.8,1165,1.1372549019607845,-1,5.41602560309064,0.2099796022588617,5.08
Joe,Rodon,Leeds,Defender,Burnley,False,40,4.4,1050,1.1,0,2.690370836538197,0.4088655679212654,3.85
